shape,max_tem,tem_rate,height,length,width,W_top,W_side,W_bottom,tem_initial,tem_out,days,location,y_temp
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,31,top,5.268213788
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,37,top,5.132430363
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,43,top,5.066734322
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,53,top,5.026790443
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0,top,15
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.1,top,17.6814347
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.2,top,19.82718176
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.3,top,21.63445453
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.4,top,23.17437789
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.5,top,24.4875912
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.6,top,25.60446951
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.7,top,26.54962379
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.8,top,27.34359514
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,0.9,top,28.00384757
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1,top,28.54544563
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.1,top,28.98153626
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.2,top,29.32369868
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.3,top,29.58220406
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.4,top,29.76621268
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.5,top,29.88392737
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.6,top,29.94271564
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.7,top,29.94915895
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.8,top,29.90738692
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,1.9,top,29.82415225
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2,top,29.70563057
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.1,top,29.55618152
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.2,top,29.37962023
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.3,top,29.17941522
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.4,top,28.95870297
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.5,top,28.72040239
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.6,top,28.46721003
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.7,top,28.20156762
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.8,top,27.92565206
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,2.9,top,27.64138812
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,3,top,27.35047282
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,3.5,top,25.81096059
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,4,top,24.29946693
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,4.5,top,22.87548861
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,5,top,21.56458881
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,5.5,top,20.37470097
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,6,top,19.3059992
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,6.5,top,18.35128112
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,7,top,17.50095092
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,7.5,top,16.7449471
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,8,top,16.07312591
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,9,top,14.99243064
